frame, Pts detected, Pts after NMS, Pts Stereo Match, Mean 3D reproj error, 8-point ransac it, Pts Tracking, Pts Quad Match, GN it, GN mean it,  Num inliers GN
500,2006,466,209,0.109678,9,189,126,3,4,79
501,2005,464,234,0.0984146,8,205,119,3,4,89
502,2008,466,214,0.11192,10,190,110,3,4,84
503,2009,465,220,0.100099,6,202,139,4,3,108
504,2004,464,212,0.0981377,6,179,119,3,5,81
505,2005,466,210,0.102807,4,197,136,4,4,111
506,2007,461,201,0.0943122,5,190,130,3,4,95
507,2005,468,210,0.0826041,4,205,128,3,4,90
508,2002,490,208,0.112849,3,196,137,3,3,109
509,2010,483,215,0.111546,3,214,138,3,4,111
510,2003,486,211,0.109506,6,194,130,3,4,100
511,2007,483,208,0.113139,5,198,136,3,4,103
512,2003,471,194,0.104752,4,182,135,4,4,104
513,2007,493,202,0.0983911,4,195,138,3,3,103
514,2009,477,208,0.130513,4,204,142,3,4,112
515,2007,479,210,0.0931522,4,204,138,4,4,114
516,2008,499,219,0.0966868,4,215,142,3,3,119
517,2000,485,213,0.0963332,4,209,132,3,3,105
518,2008,485,190,0.161011,6,184,116,3,4,80
519,2004,482,207,0.122171,5,200,133,3,4,97
520,2008,498,207,0.114833,4,200,129,4,3,99
521,2006,484,211,0.122846,4,205,135,4,4,104
522,2008,472,215,0.0988897,3,213,148,4,5,119
523,2004,479,231,0.105163,4,222,155,3,5,115
